doc_id,archivo_raw_relativo,paginas_en_pdf,paginas_en_piloto,indices_paginas_en_pdf,notas
ri-debedsar-amiquero-2026,raw/ri-debedsar-amiquero-2026.pdf,1,1,1,"Recibo ingreso / devolución viáticos. Expediente DEBEDSAR2026-INT-0103251 (UE.026)."
sol-viat-debedsar-2026,raw/sol-viat-debedsar-2026.pdf,7,2,"1,2","Solicitud N° 00233 y planilla N° 00242. Mismo expediente DEBEDSAR; SINAD 103251."
rend-debedsar-amiquero-2026,raw/rend-debedsar-amiquero-2026.pdf,31,12,"5,7,8,13,15,17,19,21,23,25,27,29","Rendición corregida: nota de pago, informe/anexo, facturas electrónicas. Excl. págs. solo validación CPE. EXPEDIENTE_ID único: planilla 00242, comisionado AMIQUERO."
