entorno_ejecucion,motor,doc_id,nombre_pdf,ruta_relativa_repo,ruta_absoluta_pdf,page_index,campo,valor_gold,valor_pred,exactitud_binaria,tiempo_pagina_s,len_texto_pagina,fecha_corrida
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,1,moneda,PEN,,0,0.035,1226,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,1,monto_subtotal,,,N/A,0.035,1226,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,1,monto_igv,,,N/A,0.035,1226,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,1,monto_total,,,N/A,0.035,1226,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,1,ruc_receptor,,,N/A,0.035,1226,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,1,razon_social_emisor,,,N/A,0.035,1226,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,2,ruc_emisor,20380795907,04601608303,0,0.0374,1499,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,2,tipo_documento,planilla_viaticos,,0,0.0374,1499,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,2,serie_numero,00242,,0,0.0374,1499,2026-04-14
WSL2 Ubuntu (preferente D-12),tesseract_baseline,sol-viat-debedsar-2026,sol-viat-debedsar-2026.pdf,data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,/mnt/c/Users/Hans/Proyectos/vision_rag/data/piloto_ocr/raw/sol-viat-debedsar-2026.pdf,2,fecha_emision,2026-01-27,2026-01-27,1,0.0374,1499,2026-04-14
